"","忠孝復興站","南港展覽館站","松山機場站","中山國中站","南京復興站","大安站","科技大樓站","六張犁站","麟光站","辛亥站","萬芳醫院站","萬芳社區站","木柵站","動物園站","大直站","劍南路站","西湖站","港墘站","文德站","內湖站","大湖公園站","葫洲站","東湖站","南港軟體園區站","小碧潭站","新店站","新店市公所站","七張站","大坪林站","景美站","萬隆站","公館站","臺電大樓站","古亭站","中正紀念堂站","頂溪站","永安市場站","景安站","南勢角站","小南門站","臺大醫院站","臺北車站","中山站","雙連站","民權西路站","圓山站","劍潭站","士林站","芝山站","明德站","石牌站","唭哩岸站","奇岩站","北投站","新北投站","復興崗站","忠義站","關渡站","竹圍站","紅樹林站","淡水站","頂埔站","永寧站","土城站","海山站","亞東醫院站","府中站","板橋站","新埔站","江子翠站","龍山寺站","西門站","善導寺站","忠孝新生站","忠孝敦化站","國父紀念館站","市政府站","永春站","後山埤站","昆陽站","南港站","大橋頭站","中山國小站","行天宮站","松江南京站","東門站","蘆洲站","三民高中站","徐匯中學站","三和國中站","三重國小站","輔大站","新莊站","頭前庄站","先嗇宮","三重站","菜寮站","臺北橋站","迴龍站","丹鳳站","象山站","台北101/世貿中心站","信義安和站","大安森林公園站","北門站","台北小巨蛋站","南京三民站","松山站","十四張","秀朗橋","景平","中和","橋和","中原","板新","新埔民生","幸福","新北產業園區","工商展覽中心","更寮","中路","分子尾","重陽橋","社子","福德洋","林子口","故宮","寶斗厝","溝子口","馬明潭","文山區公所","政大"
"工業區",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"商業區",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"住宅區",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
